,loss,learning_rate,epoch
72,0.186,9.916158042164235e-06,0.54
73,0.1892,9.899941029043198e-06,0.55
74,0.1888,9.88372401592216e-06,0.55
75,0.1929,9.867507002801122e-06,0.56
76,0.1771,9.851289989680084e-06,0.57
77,0.1845,9.835072976559045e-06,0.57
78,0.1863,9.818855963438007e-06,0.58
79,0.1907,9.80263895031697e-06,0.59
80,0.1788,9.786421937195933e-06,0.6
81,0.1893,9.770204924074894e-06,0.6
82,0.1887,9.753987910953856e-06,0.61
83,0.1823,9.737770897832818e-06,0.62
84,0.1677,9.721553884711782e-06,0.63
85,0.1776,9.705336871590743e-06,0.63
86,0.1755,9.689119858469705e-06,0.64
87,0.1719,9.672902845348667e-06,0.65
88,0.1674,9.656685832227629e-06,0.66
89,0.1727,9.64046881910659e-06,0.66
90,0.1736,9.624251805985554e-06,0.67
91,0.1764,9.608034792864516e-06,0.68
92,0.1702,9.591817779743478e-06,0.69
93,0.176,9.57560076662244e-06,0.69
94,0.1718,9.559383753501401e-06,0.7
95,0.1586,9.543166740380363e-06,0.71
96,0.1652,9.526949727259327e-06,0.72
97,0.1723,9.510732714138288e-06,0.72
98,0.1664,9.49451570101725e-06,0.73
99,0.1695,9.478298687896212e-06,0.74
100,0.1654,9.462081674775174e-06,0.74
101,0.1676,9.445864661654137e-06,0.75
102,0.1712,9.4296476485331e-06,0.76
103,0.1738,9.413430635412061e-06,0.77
104,0.1658,9.397213622291023e-06,0.77
105,0.1697,9.380996609169985e-06,0.78
106,0.1704,9.364779596048946e-06,0.79
107,0.1696,9.348562582927908e-06,0.8
108,0.1719,9.332345569806872e-06,0.8
109,0.1617,9.316128556685834e-06,0.81
110,0.1599,9.299911543564795e-06,0.82
111,0.1583,9.283694530443757e-06,0.83
112,0.1591,9.267477517322719e-06,0.83
113,0.155,9.251260504201682e-06,0.84
114,0.1582,9.235043491080644e-06,0.85
115,0.1615,9.218826477959606e-06,0.86
116,0.1656,9.202609464838568e-06,0.86
117,0.1511,9.18639245171753e-06,0.87
118,0.1541,9.170175438596493e-06,0.88
119,0.1576,9.153958425475455e-06,0.88
120,0.16,9.137741412354417e-06,0.89
121,0.1579,9.121524399233379e-06,0.9
122,0.152,9.10530738611234e-06,0.91
123,0.1561,9.089090372991302e-06,0.91
124,0.1548,9.072873359870264e-06,0.92
125,0.156,9.056656346749228e-06,0.93
126,0.1596,9.04043933362819e-06,0.94
127,0.1542,9.024222320507151e-06,0.94
128,0.1606,9.008005307386113e-06,0.95
129,0.157,8.991788294265075e-06,0.96
130,0.1458,8.975571281144038e-06,0.97
131,0.1453,8.959354268023e-06,0.97
132,0.1588,8.943137254901962e-06,0.98
133,0.1516,8.926920241780924e-06,0.99
134,0.1531,8.910703228659886e-06,1.0
135,0.1375,8.894486215538849e-06,1.0
136,0.1514,8.878269202417811e-06,1.01
137,0.1507,8.862052189296773e-06,1.02
138,0.1473,8.845835176175735e-06,1.02
139,0.14,8.829618163054696e-06,1.03
140,0.1476,8.813401149933658e-06,1.04
141,0.1418,8.79718413681262e-06,1.05
142,0.1468,8.780967123691583e-06,1.05
143,0.1498,8.764750110570545e-06,1.06
